AUTOR,TÍTULO,ISBN,GERAL,PARTICULAR,PAIS,TÓPICO,GEOGRAFIA,CLÁSSICO,CRÍTICA,LOVE,REL,TEMPO,PENSAMENTO,SECULO,CDD,VOL,COL,EDITORA,IDIOMA,ANO,PÁG
"Smith, Tom Rob",Criança 44,978-85-7799-049-8,Ficção,União Soviética,Inglaterra,Serviço Secreto,Europa,N,N,N,N,C,D,XXI,823.0,1,0,BestBolso,Português,2010,419
Sófocles,Antígona,978-65-5548-023-8,Teatro,Teatro grego,Grécia Antiga,Tragédia,Europa,S,N,N,N,P,D,antes de Cristo,882.0,,,Paz & Terra,Português,2021,111
"Stevenson, R. L.",O médico e o monstro,978-85-254-1123-5,Ficção,Ficção escocesa,Escócia,Terror,Europa,S,N,N,N,P,D,Conto,891.63,,0,L&PM Pocket,Português,2011,112
"Suassuna, Ariano",Auto da compadecida,85-220-0265-7,Teatro,Teatro brasileiro,Brasil,,América latina,S,N,N,N,C,D,XX,869.92,1,0,Agir,Português,2002,208
"Tolkien, J. R. R.",Mestre Gil de Ham,85-336-1912-X,Ficção ,Ficção inglesa,Inglaterra,Infanto-juvenil,Europa,N,N,N,N,C,D,XX,028.5,1,0,Martins Fontes,Português,2004,142
"Tolkien, J. R. R.",O Hobbit,978-85-7827-112-1,Ficção ,Ficção inglesa,Inglaterra,Ficção fantástica,Europa,S,N,N,N,C,D,XX,823.0,1,0,Martins Fontes,Português,2009,300
"Tolkien, J. R. R.",O Silmarillion,85-336-1165-X,Ficção ,Ficção inglesa,Inglaterra,Ficção fantástica,Europa,N,N,N,N,C,D,XX,823.0,1,0,Martins Fontes,Português,2002,460
"Tolkien, J. R. R.",O Senhor dos Anéis: A Sociedade do Anel,85-336-1337-7,Ficção ,Ficção inglesa,Inglaterra,Ficção fantástica,Europa,S,N,N,N,C,D,XX,823.91,1,1,Martins Fontes,Português,2001,442
"Tolkien, J. R. R.",O Senhor dos Anéis: As Duas Torres,85-336-1338-5,Ficção ,Ficção inglesa,Inglaterra,Ficção fantástica,Europa,S,N,N,N,C,D,XX,823.91,1,2,Martins Fontes,Português,2001,368
"Tolkien, J. R. R.",O Senhor dos Anéis: O Retorno do Rei,85-336-1339-3,Ficção ,Ficção inglesa,Inglaterra,Ficção fantástica,Europa,S,N,N,N,C,D,XX,823.91,1,3,Martins Fontes,Português,2001,431
"Tolstoi, Liev","Novelas completas: Felicidade conjugal, A morte de Ivn Ilitch, Sonata a Kreutzer e Padre Siergui",978-65-5992-001-6,Novela,Literatura russa,Rússia,Clássicos,Asia,S,N,N,N,P,P,XIX,891.7,1,0,Todavia,Português,2020,411
"Traviss, Harren",Star Wars: legacy of the force - sacrifice,978-0-345-47741-5,Ficção,Ficção norte americana,EUA,Infanto-juvenil,América do norte,N,N,N,N,C,D,XXI,823.92,1,5,Del rey,Inglês,2007,498
"Turgueniev, Ivan S.",Fathers and sons,978-1-85326-286-9,Romance,Romance russo,Rússia,Ficção filósofica,Asia,S,N,N,N,P,P,XIX,891.73,1,0,Wordsworth ,Inglês,2021,211
"Tzu, Sun",A arte da guerra,978-85-7232-821-0,Ciência política,Filosofia chinesa,China,Militar,Asia,S,S,N,N,P,P,antes de Cristo,355.02,1,0,Martin Claret,Português,2011,158
Vários autores,Pé de poesia,85-260-0772-6,Poesia,Poesia brasileira,Brasil,Infanto-juvenil,América latina,N,N,N,N,C,D,XX,028.5,1,0,Global,Português,2002,63
Vários autores,Grandes inspirações,978-85-413-0753-6,Poesia,Poesia brasileira,Brasil,Infanto-juvenil,América latina,N,N,N,N,C,D,XXI,028.5,1,0,,Português,2016,33
"Verne, Júlio",Viagem ao centro da Terra,85-7232-497-6,Ficção,Ficção francesa,França,Aventura,Europa,S,N,N,N,P,D,XIX,028.5,1,0,Martin Claret,Português,2007,214
"Verne, Júlio",Vinte mil léguas submarinas,978-85-7232-626-1,Ficção,Ficção francesa,França,Aventura,Europa,S,N,N,N,P,D,XIX,843.0,1,0,Martin Claret,Português,2012,398
"Verne, Júlio",Da Terra à Lua,852890194-7,Ficção,Ficção francesa,França,Aventura,Europa,N,N,N,N,P,D,XIX,843.8,1,0,Hemus,Português,2012,108
"Verne, Júlio",A volta ao mundo em 80 dias,978-85-254-0836-5,Ficção,Ficção francesa,França,Aventura,Europa,S,N,N,N,P,D,XIX,843.87,1,0,L&PM Pocket,Português,2010,256
"Wells, H. G.",A máquina do tempo,978-85-254-3464-7,Ficção,Ficção inglesa,Inglaterra,Ficção científica,Europa,S,N,N,N,P,D,XIX,823.0,1,0,L&PM Pocket,Português,2018,160
"Wilde, Oscar",Histórias de fadas,85-209-1225-7,Contos,Conto inglês,Inglaterra,Infanto-juvenil,Europa,N,N,N,N,P,D,XIX,028.5,1,0,Nova fronteira,Português,2001,48
"Willer, Derrick",Sums: they're math magic,978-1-8384070-0-1,Matemática,Números,Inglaterra,Infanto-juvenil,Europa,N,N,N,N,C,P,XXI,510.0,1,0,-,Inglês,2022,112
"Windham, Ryder",Star Wars: the empire strikes back,978-0-439-68124-7,Ficção,Ficção norte americana,EUA,Infanto-juvenil,América do norte,N,N,N,N,C,D,XXI,791.43,1,5,Scholastic,Inglês,2004,235
"Windham, Ryder",Star Wars: return of the Jedi,978-0-439-68126-1,Ficção,Ficção norte americana,EUA,Infanto-juvenil,América do norte,N,N,N,N,C,D,XXI,791.43,1,6,Scholastic,Inglês,2004,188
"Wrede, Patricia C.",Star Wars: revenge of the sith,978-0-439-13929-8,Ficção,Ficção norte americana,EUA,Infanto-juvenil,América do norte,N,N,N,N,C,D,XXI,791.43,1,3,Scholastic,Inglês,2005,185
"Wrede, Patricia C.",Star Wars: the phantom menace,978-0-590-01089-4,Ficção,Ficção norte americana,EUA,Infanto-juvenil,América do norte,N,N,N,N,C,D,XXI,791.43,1,1,Scholastic,Inglês,1999,178
"Wrede, Patricia C.",Star Wars: attack of the clones,978-0-439-13928-1,Ficção,Ficção norte americana,EUA,Infanto-juvenil,América do norte,N,N,N,N,C,D,XXI,791.43,1,2,Scholastic,Inglês,2002,167
"Wrede, Patricia C.",Star Wars: a new hope,978-0-439-68123-0,Ficção,Ficção norte americana,EUA,Infanto-juvenil,América do norte,N,N,N,N,C,D,XXI,791.43,1,4,Scholastic,Inglês,2004,215
"Yanagihara, Hanya",Uma vida pequena,,Romance,Ficção norte americana,EUA,Ficção,América do norte,N,N,N,N,C,D,XXI,813.6,1,0,Record,Português,2016,784
"Zamiátin, Ievguêni",Nós,978-65-86064-46-9,Ficção,Ficção russa,Rússia,Ficção científica,Asia,N,S,N,N,F,P,XX,891.7,1,0,Aleth,Português,2021,328
